Objects,Architecture,Effects,Resolution,Time
1000,GPU,AA-TR-xx,1920x1080,6.49
4000,APU,xx-xx-xx,1280x720,4.23
1000,GPU,AA-TR-RE,1280x720,6.68
65000,CPU,AA-xx-xx,1280x720,69.35
260000,CPU,AA-xx-xx,1280x720,182.01
260000,GPU,xx-TR-xx,1440x900,75.56
4000,APU,xx-xx-RE,1280x720,4.53
1000,CPU,xx-xx-xx,1440x900,4.00
16000,CPU,xx-TR-RE,1440x900,26.28
65000,GPU,AA-xx-xx,1280x720,49.34
260000,APU,xx-TR-RE,1920x1080,64.61
16000,CPU,AA-TR-xx,1920x1080,104.13
65000,APU,AA-xx-xx,1280x720,16.15
1000,CPU,AA-xx-xx,1920x1080,24.02
260000,CPU,xx-TR-xx,1280x720,52.02
16000,APU,AA-TR-xx,1280x720,19.97
65000,CPU,AA-TR-RE,1440x900,234.59
16000,APU,AA-TR-RE,1920x1080,65.61
65000,CPU,AA-TR-xx,1440x900,137.22
1000,CPU,xx-xx-xx,1440x900,4.02
4000,CPU,AA-TR-xx,1280x720,33.87
260000,GPU,AA-xx-RE,1280x720,351.78
1000,GPU,AA-TR-xx,1920x1080,6.48
260000,APU,xx-TR-RE,1440x900,53.28
16000,APU,xx-TR-RE,1440x900,13.59
16000,APU,AA-xx-xx,1920x1080,13.95
65000,GPU,AA-TR-RE,1920x1080,457.23
16000,CPU,AA-xx-xx,1920x1080,64.70
1000,APU,xx-TR-RE,1920x1080,4.51
16000,CPU,AA-xx-RE,1280x720,52.01
16000,GPU,AA-TR-RE,1440x900,141.03
4000,GPU,AA-TR-xx,1280x720,14.67
260000,GPU,xx-TR-RE,1280x720,170.38
65000,APU,xx-TR-RE,1440x900,23.73
65000,CPU,xx-TR-xx,1920x1080,34.82
4000,GPU,AA-xx-xx,1920x1080,11.02
16000,GPU,xx-TR-xx,1280x720,8.69
260000,APU,xx-TR-xx,1280x720,16.94
16000,APU,xx-xx-xx,1280x720,4.76
16000,APU,AA-TR-RE,1440x900,55.86
1000,APU,AA-xx-xx,1280x720,5.38
16000,GPU,xx-xx-xx,1280x720,3.66
4000,APU,AA-xx-RE,1280x720,10.42
65000,CPU,xx-xx-xx,1280x720,14.18
1000,APU,AA-TR-xx,1280x720,6.78
260000,GPU,xx-xx-RE,1920x1080,103.84
16000,CPU,xx-xx-xx,1280x720,7.57
4000,CPU,AA-xx-RE,1280x720,28.58
1000,GPU,AA-xx-xx,1920x1080,4.72
65000,GPU,xx-TR-xx,1280x720,20.18
1000,GPU,xx-xx-RE,1440x900,1.44
260000,APU,xx-TR-RE,1280x720,41.88
